X_V, Y_V
-2.055,-0.041
-2.055,-0.044
-2.055,-0.047
-2.055,-0.056
-2.055,-0.059
-2.075,-0.063
-2.055,-0.073
-2.045,0.006
-2.045,-0.004
-2.035,-0.051
-2.035,-0.054
-2.015,-0.021
-2.035,-0.023
-2.011,-0.027
-2.035,-0.029
-2.015,-0.034
-2.015,-0.037
-2.035,-0.038
-1.990,-0.042
-1.995,-0.046
-1.995,-0.048
-1.995,-0.058
-1.990,-0.063
-1.995,-0.066
-1.995,-0.074
-1.975,-0.052
-1.975,-0.055
-1.955,-0.020
-1.965,-0.024
-1.959,-0.029
-1.950,-0.034
-1.955,-0.038
-1.930,-0.040
-1.935,-0.044
-1.935,-0.047
-1.935,-0.050
-1.931,-0.058
-1.935,-0.062
-1.935,-0.065
-1.935,-0.068
-1.935,-0.074
-1.925,0.002
-1.925,-0.016
-1.910,-0.054
-1.915,-0.070
-1.915,-0.020
-1.895,-0.029
-1.895,-0.034
-1.895,-0.037
-1.885,-0.024
-1.870,-0.040
-1.875,-0.044
-1.875,-0.047
-1.875,-0.050
-1.870,-0.058
-1.875,-0.062
-1.879,-0.065
-1.850,-0.052
-1.855,-0.056
-1.851,-0.069
-1.835,-0.028
-1.835,-0.032
-1.835,-0.035
-1.845,-0.074
-1.845,-0.078
-1.845,-0.086
-1.815,-0.038
-1.815,-0.041
-1.815,-0.044
-1.815,-0.047
-1.811,-0.060
-1.815,-0.064
-1.815,-0.067
-1.789,-0.052
-1.795,-0.056
-1.774,-0.028
-1.774,-0.032
-1.774,-0.035
-1.764,-0.012
-1.754,-0.017
-1.749,-0.039
-1.754,-0.042
-1.754,-0.045
-1.754,-0.048
-1.749,-0.060
-1.754,-0.063
-1.754,-0.066
-1.754,-0.069
-1.754,-0.072
-1.764,-0.074
-1.764,-0.084
-1.764,-0.090
-1.729,-0.051
-1.734,-0.055
-1.734,-0.057
-1.714,-0.029
-1.714,-0.034
-1.714,-0.076
-1.724,-0.079
-1.714,-0.018
-1.694,-0.038
-1.694,-0.041
-1.694,-0.044
-1.694,-0.047
-1.690,-0.061
-1.694,-0.065
-1.694,-0.068
-1.694,-0.071
-1.714,-0.073
-1.669,-0.050
-1.674,-0.054
-1.674,-0.057
-1.669,-0.086
-1.654,-0.027
-1.654,-0.034
-1.650,-0.076
-1.644,-0.010
-1.634,-0.019
-1.629,-0.042
-1.634,-0.046
-1.629,-0.060
-1.634,-0.064
-1.638,-0.067
-1.629,-0.072
-1.609,-0.048
-1.614,-0.052
-1.614,-0.055
-1.614,-0.058
-1.634,-0.085
-1.594,-0.025
-1.594,-0.033
-1.589,-0.078
-1.594,-0.082
-1.594,-0.088
-1.574,-0.020
-1.574,-0.042
-1.574,-0.045
-1.570,-0.062
-1.574,-0.066
-1.574,-0.069
-1.579,-0.072
-1.564,-0.036
-1.549,-0.049
-1.554,-0.052
-1.554,-0.055
-1.554,-0.058
-1.550,-0.083
-1.554,-0.094
-1.554,-0.026
-1.554,-0.030
-1.554,-0.033
-1.534,-0.077
-1.554,-0.079
-1.554,-0.088
-1.514,-0.021
-1.514,-0.039
-1.514,-0.042
-1.514,-0.045
-1.509,-0.063
-1.514,-0.066
-1.514,-0.069
-1.514,-0.072
-1.524,-0.074
-1.514,-0.099
-1.489,-0.048
-1.494,-0.052
-1.494,-0.055
-1.494,-0.058
-1.494,-0.060
-1.499,-0.082
-1.494,-0.097
-1.484,-0.032
-1.474,-0.079
-1.453,-0.021
-1.453,-0.040
-1.453,-0.043
-1.453,-0.064
-1.453,-0.067
-1.458,-0.071
-1.443,-0.012
-1.443,-0.028
-1.443,-0.036
-1.428,-0.047
-1.443,-0.049
-1.433,-0.052
-1.433,-0.055
-1.433,-0.058
-1.433,-0.061
-1.433,-0.073
-1.433,-0.076
-1.433,-0.096
-1.409,-0.080
-1.388,-0.040
-1.393,-0.064
-1.393,-0.067
-1.393,-0.071
-1.378,-0.047
-1.373,-0.052
-1.373,-0.055
-1.373,-0.058
-1.373,-0.061
-1.373,-0.076
