in s,C3 in V,C4 in V
4.4730E-07,3.174E-02,5.068E+00
4.4740E-07,3.662E-02,5.068E+00
4.4750E-07,4.150E-02,5.068E+00
4.4760E-07,4.150E-02,5.049E+00
4.4770E-07,4.639E-02,5.049E+00
4.4780E-07,5.127E-02,5.029E+00
4.4790E-07,5.615E-02,5.029E+00
4.4800E-07,6.104E-02,5.010E+00
4.4810E-07,6.592E-02,5.010E+00
4.4820E-07,7.080E-02,5.010E+00
4.4830E-07,7.568E-02,5.010E+00
4.4840E-07,8.057E-02,5.010E+00
4.4850E-07,8.545E-02,5.010E+00
4.4860E-07,9.521E-02,5.010E+00
4.4870E-07,1.001E-01,5.010E+00
4.4880E-07,1.050E-01,5.010E+00
4.4890E-07,1.099E-01,5.010E+00
4.4900E-07,1.147E-01,5.010E+00
4.4910E-07,1.147E-01,4.990E+00
4.4920E-07,1.196E-01,4.990E+00
4.4930E-07,1.245E-01,4.990E+00
4.4940E-07,1.245E-01,4.971E+00
4.4950E-07,1.245E-01,4.971E+00
4.4960E-07,1.294E-01,4.971E+00
4.4970E-07,1.294E-01,4.971E+00
4.4980E-07,1.294E-01,4.971E+00
4.4990E-07,1.343E-01,4.971E+00
4.5000E-07,1.343E-01,4.990E+00
4.5010E-07,1.392E-01,4.990E+00
4.5020E-07,1.440E-01,5.010E+00
4.5030E-07,1.440E-01,5.010E+00
4.5040E-07,1.489E-01,5.010E+00
4.5050E-07,1.538E-01,5.010E+00
4.5060E-07,1.587E-01,5.010E+00
4.5070E-07,1.636E-01,4.990E+00
4.5080E-07,1.636E-01,4.990E+00
4.5090E-07,1.685E-01,4.971E+00
4.5100E-07,1.685E-01,4.971E+00
4.5110E-07,1.733E-01,4.951E+00
4.5120E-07,1.733E-01,4.951E+00
4.5130E-07,1.733E-01,4.951E+00
4.5140E-07,1.733E-01,4.951E+00
4.5150E-07,1.733E-01,4.951E+00
4.5160E-07,1.733E-01,4.971E+00
4.5170E-07,1.685E-01,4.971E+00
4.5180E-07,1.685E-01,4.990E+00
4.5190E-07,1.685E-01,4.990E+00
4.5200E-07,1.636E-01,5.010E+00
4.5210E-07,1.636E-01,5.010E+00
4.5220E-07,1.587E-01,5.010E+00
4.5230E-07,1.587E-01,5.010E+00
4.5240E-07,1.538E-01,5.010E+00
4.5250E-07,1.538E-01,5.010E+00
4.5260E-07,1.489E-01,4.990E+00
4.5270E-07,1.440E-01,4.990E+00
4.5280E-07,1.440E-01,4.990E+00
4.5290E-07,1.392E-01,4.990E+00
4.5300E-07,1.343E-01,4.990E+00
4.5310E-07,1.343E-01,4.990E+00
4.5320E-07,1.294E-01,5.010E+00
4.5330E-07,1.245E-01,5.010E+00
4.5340E-07,1.245E-01,5.029E+00
4.5350E-07,1.196E-01,5.029E+00
4.5360E-07,1.147E-01,5.029E+00
4.5370E-07,1.147E-01,5.029E+00
4.5380E-07,1.147E-01,5.029E+00
4.5390E-07,1.099E-01,5.010E+00
4.5400E-07,1.099E-01,5.010E+00
4.5410E-07,1.099E-01,5.010E+00
4.5420E-07,1.099E-01,4.990E+00
4.5430E-07,1.050E-01,4.990E+00
4.5440E-07,1.050E-01,4.971E+00
4.5450E-07,1.050E-01,4.971E+00
4.5460E-07,1.050E-01,4.971E+00
4.5470E-07,1.001E-01,4.971E+00
4.5480E-07,1.001E-01,4.971E+00
4.5490E-07,1.001E-01,4.990E+00
4.5500E-07,9.521E-02,4.990E+00
4.5510E-07,9.033E-02,4.990E+00
4.5520E-07,9.033E-02,4.990E+00
4.5530E-07,8.545E-02,4.990E+00
4.5540E-07,8.057E-02,4.990E+00
4.5550E-07,8.057E-02,4.971E+00
4.5560E-07,7.568E-02,4.971E+00
4.5570E-07,7.080E-02,4.971E+00
4.5580E-07,6.592E-02,4.951E+00
4.5590E-07,6.592E-02,4.951E+00
4.5600E-07,6.104E-02,4.951E+00
4.5610E-07,6.104E-02,4.951E+00
4.5620E-07,6.104E-02,4.951E+00
4.5630E-07,6.104E-02,4.971E+00
4.5640E-07,6.104E-02,4.990E+00
4.5650E-07,6.104E-02,4.990E+00
4.5660E-07,6.104E-02,5.010E+00
4.5670E-07,6.104E-02,5.010E+00
4.5680E-07,6.592E-02,5.029E+00
4.5690E-07,6.592E-02,5.029E+00
4.5700E-07,6.592E-02,5.029E+00
4.5710E-07,7.080E-02,5.029E+00
4.5720E-07,7.080E-02,5.010E+00
4.5730E-07,7.080E-02,4.990E+00
4.5740E-07,7.568E-02,4.990E+00
4.5750E-07,7.568E-02,4.971E+00
4.5760E-07,7.080E-02,4.951E+00
4.5770E-07,7.080E-02,4.951E+00
4.5780E-07,7.080E-02,4.951E+00
4.5790E-07,6.592E-02,4.951E+00
4.5800E-07,6.104E-02,4.951E+00
4.5810E-07,5.615E-02,4.971E+00
4.5820E-07,5.127E-02,4.971E+00
4.5830E-07,4.639E-02,4.990E+00
4.5840E-07,4.150E-02,5.010E+00
4.5850E-07,3.662E-02,5.010E+00
4.5860E-07,3.174E-02,5.010E+00
4.5870E-07,2.686E-02,5.029E+00
4.5880E-07,2.197E-02,5.029E+00
4.5890E-07,2.197E-02,5.029E+00
4.5900E-07,1.709E-02,5.010E+00
4.5910E-07,1.709E-02,5.010E+00
4.5920E-07,1.709E-02,5.010E+00
4.5930E-07,1.709E-02,5.010E+00
4.5940E-07,1.709E-02,5.010E+00
4.5950E-07,1.709E-02,5.010E+00
4.5960E-07,1.709E-02,5.010E+00
4.5970E-07,2.197E-02,5.010E+00
4.5980E-07,2.197E-02,5.029E+00
4.5990E-07,2.197E-02,5.029E+00
4.6000E-07,2.197E-02,5.029E+00
4.6010E-07,2.197E-02,5.029E+00
4.6020E-07,2.197E-02,5.029E+00
4.6030E-07,2.197E-02,5.029E+00
4.6040E-07,2.197E-02,5.029E+00
4.6050E-07,2.197E-02,5.010E+00
4.6060E-07,2.197E-02,5.010E+00
4.6070E-07,2.197E-02,5.010E+00
4.6080E-07,2.197E-02,5.010E+00
4.6090E-07,2.197E-02,5.010E+00
4.6100E-07,2.197E-02,5.010E+00
4.6110E-07,2.197E-02,5.010E+00
4.6120E-07,2.197E-02,5.029E+00
4.6130E-07,2.686E-02,5.029E+00
4.6140E-07,2.686E-02,5.029E+00
4.6150E-07,2.686E-02,5.029E+00
4.6160E-07,2.686E-02,5.029E+00
4.6170E-07,2.686E-02,5.029E+00
4.6180E-07,2.686E-02,5.029E+00
4.6190E-07,2.686E-02,5.010E+00
4.6200E-07,2.686E-02,5.010E+00
4.6210E-07,2.686E-02,5.010E+00
4.6220E-07,2.686E-02,4.990E+00
4.6230E-07,2.686E-02,4.990E+00
4.6240E-07,2.686E-02,4.990E+00
4.6250E-07,2.686E-02,4.990E+00
4.6260E-07,2.686E-02,4.990E+00
4.6270E-07,3.174E-02,4.990E+00
4.6280E-07,3.174E-02,5.010E+00
4.6290E-07,3.662E-02,5.010E+00
4.6300E-07,4.150E-02,5.010E+00
4.6310E-07,4.639E-02,5.010E+00
4.6320E-07,4.639E-02,5.010E+00
4.6330E-07,5.127E-02,4.990E+00
4.6340E-07,5.615E-02,4.971E+00
4.6350E-07,5.615E-02,4.951E+00
4.6360E-07,5.615E-02,4.932E+00
4.6370E-07,5.615E-02,4.932E+00
4.6380E-07,5.615E-02,4.912E+00
4.6390E-07,5.127E-02,4.912E+00
4.6400E-07,5.127E-02,4.912E+00
4.6410E-07,4.639E-02,4.912E+00
4.6420E-07,4.150E-02,4.932E+00
4.6430E-07,3.662E-02,4.951E+00
4.6440E-07,3.662E-02,4.971E+00
4.6450E-07,3.174E-02,4.990E+00
4.6460E-07,3.174E-02,5.010E+00
4.6470E-07,3.174E-02,5.049E+00
4.6480E-07,3.174E-02,5.049E+00
4.6490E-07,3.174E-02,5.068E+00
4.6500E-07,3.174E-02,5.068E+00
4.6510E-07,3.662E-02,5.068E+00
4.6520E-07,3.662E-02,5.068E+00
4.6530E-07,4.150E-02,5.049E+00
4.6540E-07,4.150E-02,5.029E+00
4.6550E-07,4.639E-02,5.029E+00
4.6560E-07,4.639E-02,5.010E+00
4.6570E-07,4.639E-02,5.010E+00
4.6580E-07,4.639E-02,5.010E+00
4.6590E-07,4.639E-02,5.010E+00
4.6600E-07,4.639E-02,5.029E+00
4.6610E-07,4.639E-02,5.029E+00
4.6620E-07,4.639E-02,5.049E+00
4.6630E-07,4.639E-02,5.049E+00
4.6640E-07,4.639E-02,5.068E+00
4.6650E-07,4.639E-02,5.068E+00
4.6660E-07,4.639E-02,5.068E+00
4.6670E-07,5.127E-02,5.068E+00
4.6680E-07,5.127E-02,5.049E+00
4.6690E-07,5.615E-02,5.049E+00
4.6700E-07,5.615E-02,5.029E+00
4.6710E-07,5.615E-02,5.029E+00
4.6720E-07,5.615E-02,5.010E+00
4.6730E-07,5.615E-02,5.010E+00
4.6740E-07,5.615E-02,5.010E+00
4.6750E-07,5.127E-02,5.010E+00
4.6760E-07,4.639E-02,5.010E+00
4.6770E-07,4.639E-02,5.029E+00
4.6780E-07,4.150E-02,5.029E+00
4.6790E-07,3.662E-02,5.049E+00
4.6800E-07,3.662E-02,5.049E+00
4.6810E-07,3.662E-02,5.049E+00
4.6820E-07,3.662E-02,5.049E+00
4.6830E-07,3.662E-02,5.049E+00
4.6840E-07,4.150E-02,5.029E+00
4.6850E-07,4.639E-02,5.029E+00
4.6860E-07,4.639E-02,5.010E+00
4.6870E-07,5.127E-02,5.010E+00
4.6880E-07,5.127E-02,4.990E+00
4.6890E-07,5.615E-02,4.990E+00
4.6900E-07,5.615E-02,4.990E+00
4.6910E-07,6.104E-02,4.990E+00
4.6920E-07,6.104E-02,5.010E+00
4.6930E-07,6.104E-02,5.029E+00
4.6940E-07,6.104E-02,5.029E+00
4.6950E-07,6.104E-02,5.049E+00
4.6960E-07,6.104E-02,5.068E+00
4.6970E-07,6.104E-02,5.068E+00
4.6980E-07,6.104E-02,5.068E+00
4.6990E-07,6.592E-02,5.068E+00
4.7000E-07,6.592E-02,5.068E+00
4.7010E-07,6.592E-02,5.068E+00
4.7020E-07,7.080E-02,5.068E+00
4.7030E-07,7.080E-02,5.049E+00
4.7040E-07,7.080E-02,5.049E+00
4.7050E-07,7.080E-02,5.049E+00
4.7060E-07,7.080E-02,5.049E+00
4.7070E-07,6.592E-02,5.049E+00
4.7080E-07,6.104E-02,5.049E+00
4.7090E-07,5.615E-02,5.049E+00
4.7100E-07,5.615E-02,5.049E+00
4.7110E-07,5.127E-02,5.049E+00
4.7120E-07,4.639E-02,5.049E+00
4.7130E-07,4.150E-02,5.049E+00
4.7140E-07,4.150E-02,5.049E+00
4.7150E-07,3.662E-02,5.029E+00
4.7160E-07,3.662E-02,5.029E+00
4.7170E-07,4.150E-02,5.010E+00
4.7180E-07,4.150E-02,5.010E+00
4.7190E-07,4.639E-02,5.010E+00
4.7200E-07,4.639E-02,5.010E+00
4.7210E-07,5.127E-02,5.010E+00
4.7220E-07,5.615E-02,5.010E+00
4.7230E-07,5.615E-02,5.029E+00
4.7240E-07,6.104E-02,5.049E+00
4.7250E-07,6.104E-02,5.049E+00
4.7260E-07,6.104E-02,5.068E+00
4.7270E-07,6.104E-02,5.088E+00
