in s,Math in V
4.6880E-07,-1.04527E-04
4.6960E-07,-2.41114E-04
4.7040E-07,-2.02089E-04
4.7120E-07,-2.02089E-04
4.7200E-07,-1.24040E-04
4.7280E-07,-2.21602E-04
4.7360E-07,-2.41114E-04
4.7440E-07,-1.82577E-04
4.7520E-07,-2.02089E-04
4.7600E-07,-2.02089E-04
4.7680E-07,-1.04527E-04
4.7760E-07,-2.02089E-04
4.7840E-07,-2.02089E-04
4.7920E-07,-1.82577E-04
4.8000E-07,-1.63064E-04
4.8080E-07,-2.02089E-04
4.8160E-07,-1.82577E-04
4.8240E-07,-8.50146E-05
4.8320E-07,-1.43552E-04
4.8400E-07,-2.02089E-04
4.8480E-07,-1.43552E-04
4.8560E-07,-1.04527E-04
4.8640E-07,-2.21602E-04
4.8720E-07,-1.63064E-04
4.8800E-07,-1.24040E-04
4.8880E-07,-1.24040E-04
4.8960E-07,-1.43552E-04
4.9040E-07,-1.63064E-04
4.9120E-07,-1.63064E-04
4.9200E-07,-1.63064E-04
4.9280E-07,-1.82577E-04
4.9360E-07,-1.82577E-04
4.9440E-07,-1.24040E-04
4.9520E-07,-2.02089E-04
4.9600E-07,-2.21602E-04
4.9680E-07,-8.50146E-05
4.9760E-07,-1.04527E-04
4.9840E-07,-1.04527E-04
4.9920E-07,-8.50146E-05
5.0000E-07,-1.43552E-04
5.0080E-07,-8.50146E-05
5.0160E-07,-1.04527E-04
5.0240E-07,-1.43552E-04
5.0320E-07,-1.24040E-04
5.0400E-07,-1.63064E-04
5.0480E-07,-1.63064E-04
5.0560E-07,-8.50146E-05
5.0640E-07,-8.50146E-05
5.0720E-07,-1.63064E-04
5.0800E-07,-2.02089E-04
5.0880E-07,-2.02089E-04
5.0960E-07,-1.43552E-04
5.1040E-07,-6.55021E-05
5.1120E-07,-1.24040E-04
5.1200E-07,-1.82577E-04
5.1280E-07,-1.82577E-04
5.1360E-07,-1.63064E-04
5.1440E-07,-2.80749E-04
5.1520E-07,-1.82577E-04
5.1600E-07,-1.63064E-04
5.1680E-07,-1.24040E-04
5.1760E-07,-1.43552E-04
5.1840E-07,-2.80749E-04
5.1920E-07,-1.24040E-04
5.2000E-07,-8.50146E-05
5.2080E-07,-8.50146E-05
5.2160E-07,-1.43552E-04
5.2240E-07,-1.82577E-04
5.2320E-07,-1.24040E-04
5.2400E-07,-2.21602E-04
5.2480E-07,-2.41114E-04
5.2560E-07,-2.80749E-04
5.2640E-07,-1.63064E-04
5.2720E-07,-1.82577E-04
5.2800E-07,-1.24040E-04
5.2880E-07,-1.63064E-04
5.2960E-07,-8.50146E-05
5.3040E-07,-1.82577E-04
5.3120E-07,-1.63064E-04
5.3200E-07,-1.82577E-04
5.3280E-07,-2.21602E-04
5.3360E-07,-2.21602E-04
5.3440E-07,-1.82577E-04
5.3520E-07,-4.59896E-05
5.3600E-07,-1.04527E-04
5.3680E-07,-2.02089E-04
5.3760E-07,-2.21602E-04
5.3840E-07,-2.64772E-05
5.3920E-07,7.10852E-05
5.4000E-07,2.07673E-04
5.4080E-07,3.24747E-04
5.4160E-07,3.05235E-04
5.4240E-07,3.44260E-04
5.4320E-07,3.05235E-04
5.4400E-07,3.05235E-04
5.4480E-07,2.85722E-04
5.4560E-07,2.27185E-04
5.4640E-07,2.66210E-04
5.4720E-07,3.05235E-04
5.4800E-07,2.27185E-04
5.4880E-07,3.05235E-04
5.4960E-07,3.24747E-04
5.5040E-07,2.07673E-04
5.5120E-07,3.24747E-04
5.5200E-07,1.68648E-04
5.5280E-07,1.29623E-04
5.5360E-07,2.27185E-04
5.5440E-07,2.27185E-04
5.5520E-07,3.24747E-04
5.5600E-07,3.83895E-04
5.5680E-07,2.07673E-04
5.5760E-07,2.46697E-04
5.5840E-07,1.88160E-04
5.5920E-07,2.46697E-04
5.6000E-07,2.27185E-04
5.6080E-07,2.46697E-04
5.6160E-07,1.68648E-04
5.6240E-07,2.46697E-04
5.6320E-07,3.05235E-04
5.6400E-07,2.27185E-04
5.6480E-07,1.88160E-04
5.6560E-07,7.10852E-05
5.6640E-07,2.07673E-04
5.6720E-07,9.05977E-05
5.6800E-07,1.88160E-04
5.6880E-07,2.27185E-04
5.6960E-07,2.07673E-04
5.7040E-07,1.68648E-04
5.7120E-07,1.88160E-04
5.7200E-07,7.10852E-05
5.7280E-07,1.29623E-04
5.7360E-07,1.29623E-04
5.7440E-07,5.15727E-05
5.7520E-07,1.49135E-04
5.7600E-07,1.29623E-04
5.7680E-07,9.05977E-05
5.7760E-07,1.68648E-04
5.7840E-07,1.29623E-04
5.7920E-07,2.07673E-04
5.8000E-07,2.07673E-04
5.8080E-07,1.88160E-04
5.8160E-07,1.29623E-04
5.8240E-07,1.49135E-04
5.8320E-07,1.10110E-04
5.8400E-07,5.15727E-05
5.8480E-07,5.15727E-05
5.8560E-07,5.15727E-05
5.8640E-07,1.29623E-04
5.8720E-07,1.10110E-04
5.8800E-07,1.29623E-04
5.8880E-07,1.10110E-04
5.8960E-07,1.49135E-04
5.9040E-07,1.49135E-04
5.9120E-07,5.15727E-05
5.9200E-07,7.10852E-05
5.9280E-07,5.15727E-05
5.9360E-07,5.15727E-05
5.9440E-07,3.20603E-05
5.9520E-07,9.05977E-05
5.9600E-07,3.20603E-05
5.9680E-07,3.20603E-05
5.9760E-07,-6.96468E-06
5.9840E-07,5.15727E-05
5.9920E-07,-6.96468E-06
6.0000E-07,3.20603E-05
6.0080E-07,-2.64772E-05
6.0160E-07,1.25478E-05
6.0240E-07,1.25478E-05
6.0320E-07,7.10852E-05
6.0400E-07,1.25478E-05
6.0480E-07,-6.96468E-06
6.0560E-07,-6.96468E-06
6.0640E-07,5.15727E-05
6.0720E-07,7.10852E-05
6.0800E-07,9.05977E-05
6.0880E-07,7.10852E-05
6.0960E-07,3.20603E-05
6.1040E-07,1.25478E-05
6.1120E-07,3.20603E-05
6.1200E-07,1.25478E-05
6.1280E-07,1.25478E-05
6.1360E-07,-4.59896E-05
6.1440E-07,-4.59896E-05
6.1520E-07,-4.59896E-05
6.1600E-07,3.20603E-05
6.1680E-07,1.25478E-05
6.1760E-07,1.25478E-05
6.1840E-07,3.20603E-05
6.1920E-07,-8.50146E-05
6.2000E-07,-4.59896E-05
6.2080E-07,-4.59896E-05
6.2160E-07,-2.64772E-05
6.2240E-07,3.20603E-05
6.2320E-07,-6.55021E-05
6.2400E-07,-2.64772E-05
6.2480E-07,3.20603E-05
6.2560E-07,9.05977E-05
6.2640E-07,-4.59896E-05
6.2720E-07,5.15727E-05
6.2800E-07,1.25478E-05
6.2880E-07,-4.59896E-05
6.2960E-07,-8.50146E-05
6.3040E-07,1.25478E-05
6.3120E-07,1.25478E-05
6.3200E-07,5.15727E-05
6.3280E-07,1.25478E-05
6.3360E-07,-2.64772E-05
6.3440E-07,-2.64772E-05
6.3520E-07,3.20603E-05
6.3600E-07,-6.55021E-05
6.3680E-07,-6.55021E-05
6.3760E-07,-6.96468E-06
6.3840E-07,1.25478E-05
6.3920E-07,5.15727E-05
6.4000E-07,-2.64772E-05
6.4080E-07,-6.96468E-06
6.4160E-07,-4.59896E-05
6.4240E-07,-4.59896E-05
6.4320E-07,1.25478E-05
6.4400E-07,-6.96468E-06
6.4480E-07,-6.96468E-06
6.4560E-07,-2.64772E-05
6.4640E-07,-8.50146E-05
6.4720E-07,-8.50146E-05
6.4800E-07,-8.50146E-05
6.4880E-07,-6.55021E-05
6.4960E-07,-8.50146E-05
6.5040E-07,-1.04527E-04
6.5120E-07,-8.50146E-05
6.5200E-07,-6.96468E-06
6.5280E-07,-4.59896E-05
6.5360E-07,7.10852E-05
6.5440E-07,-8.50146E-05
6.5520E-07,-4.59896E-05
6.5600E-07,-8.50146E-05
6.5680E-07,-4.59896E-05
6.5760E-07,-4.59896E-05
6.5840E-07,-6.55021E-05
6.5920E-07,-6.55021E-05
6.6000E-07,-4.59896E-05
6.6080E-07,1.25478E-05
6.6160E-07,-1.63064E-04
6.6240E-07,-2.64772E-05
6.6320E-07,-6.96468E-06
6.6400E-07,-8.50146E-05
6.6480E-07,-1.24040E-04
6.6560E-07,-6.96468E-06
6.6640E-07,-2.64772E-05
6.6720E-07,-6.96468E-06
6.6800E-07,-8.50146E-05
6.6880E-07,-6.96468E-06
6.6960E-07,-8.50146E-05
6.7040E-07,-4.59896E-05
6.7120E-07,-6.55021E-05
6.7200E-07,-1.24040E-04
6.7280E-07,-4.59896E-05
6.7360E-07,-1.04527E-04
6.7440E-07,-8.50146E-05
6.7520E-07,-4.59896E-05
6.7600E-07,-1.63064E-04
6.7680E-07,-1.24040E-04
6.7760E-07,-4.59896E-05
6.7840E-07,-1.04527E-04
6.7920E-07,-1.04527E-04
6.8000E-07,-1.04527E-04
6.8080E-07,-2.02089E-04
6.8160E-07,-1.24040E-04
6.8240E-07,-6.55021E-05
6.8320E-07,-6.55021E-05
6.8400E-07,-1.24040E-04
6.8480E-07,-1.04527E-04
6.8560E-07,-1.04527E-04
6.8640E-07,-1.43552E-04
6.8720E-07,-1.24040E-04
6.8800E-07,-1.82577E-04
6.8880E-07,-2.21602E-04
6.8960E-07,-1.04527E-04
6.9040E-07,-8.50146E-05
6.9120E-07,-2.02089E-04
6.9200E-07,-6.55021E-05
6.9280E-07,-8.50146E-05
6.9360E-07,-1.24040E-04
6.9440E-07,-1.43552E-04
6.9520E-07,-6.55021E-05
6.9600E-07,-2.64772E-05
6.9680E-07,-6.96468E-06
6.9760E-07,-8.50146E-05
6.9840E-07,-1.04527E-04
6.9920E-07,-1.04527E-04
7.0000E-07,-2.60627E-04
7.0080E-07,-1.24040E-04
7.0160E-07,-8.50146E-05
7.0240E-07,-4.59896E-05
7.0320E-07,-2.64772E-05
7.0400E-07,-1.43552E-04
7.0480E-07,-4.59896E-05
7.0560E-07,-1.82577E-04
7.0640E-07,-1.24040E-04
7.0720E-07,-1.43552E-04
7.0800E-07,-1.43552E-04
7.0880E-07,-8.50146E-05
7.0960E-07,-2.21602E-04
