in s,C1 in V,C2 in V,C4 in V
5.2800E-07,-4.080E-01,4.602E-01,9.990E-03
5.2880E-07,-3.885E-01,4.114E-01,9.990E-03
5.2960E-07,-3.885E-01,4.016E-01,9.990E-03
5.3040E-07,-4.080E-01,4.114E-01,9.990E-03
5.3120E-07,-4.080E-01,3.821E-01,9.990E-03
5.3200E-07,-4.080E-01,4.016E-01,9.990E-03
5.3280E-07,-4.178E-01,4.114E-01,9.990E-03
5.3360E-07,-3.982E-01,3.821E-01,9.990E-03
5.3440E-07,-3.689E-01,4.016E-01,9.990E-03
5.3520E-07,-4.080E-01,3.723E-01,9.990E-03
5.3600E-07,-3.689E-01,3.821E-01,9.990E-03
5.3680E-07,-3.396E-01,3.821E-01,9.990E-03
5.3760E-07,-3.592E-01,3.918E-01,9.990E-03
5.3840E-07,-3.494E-01,3.528E-01,9.990E-03
5.3920E-07,-3.592E-01,4.114E-01,9.990E-03
5.4000E-07,-3.787E-01,4.016E-01,9.990E-03
5.4080E-07,-3.396E-01,3.723E-01,9.990E-03
5.4160E-07,-3.787E-01,3.430E-01,9.990E-03
5.4240E-07,-3.885E-01,3.528E-01,9.990E-03
5.4320E-07,-3.396E-01,4.016E-01,9.990E-03
5.4400E-07,-3.787E-01,3.625E-01,9.990E-03
5.4480E-07,-3.689E-01,3.528E-01,9.990E-03
5.4560E-07,-3.494E-01,3.625E-01,9.990E-03
5.4640E-07,-3.592E-01,3.430E-01,9.990E-03
5.4720E-07,-3.592E-01,3.625E-01,9.990E-03
5.4800E-07,-3.201E-01,3.723E-01,9.990E-03
5.4880E-07,-3.396E-01,3.430E-01,9.990E-03
5.4960E-07,-3.592E-01,3.528E-01,9.990E-03
5.5040E-07,-3.592E-01,3.528E-01,9.990E-03
5.5120E-07,-3.299E-01,3.137E-01,9.990E-03
5.5200E-07,-3.299E-01,3.430E-01,9.990E-03
5.5280E-07,-3.299E-01,3.235E-01,9.990E-03
5.5360E-07,-3.396E-01,3.430E-01,9.990E-03
5.5440E-07,-3.396E-01,3.235E-01,9.990E-03
5.5520E-07,-3.104E-01,3.137E-01,9.990E-03
5.5600E-07,-3.006E-01,3.625E-01,9.990E-03
5.5680E-07,-3.104E-01,3.332E-01,9.990E-03
5.5760E-07,-3.299E-01,3.137E-01,9.990E-03
5.5840E-07,-3.299E-01,3.235E-01,9.990E-03
5.5920E-07,-3.006E-01,3.235E-01,9.990E-03
5.6000E-07,-3.201E-01,3.332E-01,9.990E-03
5.6080E-07,-3.006E-01,3.039E-01,9.990E-03
5.6160E-07,-3.201E-01,3.332E-01,9.990E-03
5.6240E-07,-3.104E-01,3.039E-01,9.990E-03
5.6320E-07,-3.006E-01,3.235E-01,9.990E-03
5.6400E-07,-2.811E-01,3.332E-01,9.990E-03
5.6480E-07,-3.006E-01,3.137E-01,9.990E-03
5.6560E-07,-3.201E-01,3.332E-01,9.990E-03
5.6640E-07,-3.104E-01,3.039E-01,9.990E-03
5.6720E-07,-3.006E-01,3.039E-01,9.990E-03
5.6800E-07,-3.201E-01,3.039E-01,9.990E-03
5.6880E-07,-3.104E-01,3.039E-01,9.990E-03
5.6960E-07,-3.006E-01,2.844E-01,9.990E-03
5.7040E-07,-2.811E-01,2.844E-01,9.990E-03
5.7120E-07,-2.713E-01,2.942E-01,9.990E-03
5.7200E-07,-3.006E-01,3.039E-01,9.990E-03
5.7280E-07,-3.006E-01,2.942E-01,9.990E-03
5.7360E-07,-2.811E-01,2.649E-01,9.990E-03
5.7440E-07,-3.006E-01,3.039E-01,9.990E-03
5.7520E-07,-2.713E-01,2.844E-01,9.990E-03
5.7600E-07,-3.006E-01,3.039E-01,9.990E-03
5.7680E-07,-2.615E-01,2.746E-01,9.990E-03
5.7760E-07,-2.713E-01,2.844E-01,9.990E-03
5.7840E-07,-2.908E-01,2.454E-01,9.990E-03
5.7920E-07,-2.908E-01,2.844E-01,9.990E-03
5.8000E-07,-2.713E-01,2.649E-01,9.990E-03
5.8080E-07,-2.811E-01,2.844E-01,9.990E-03
5.8160E-07,-2.811E-01,2.942E-01,9.990E-03
5.8240E-07,-2.420E-01,2.844E-01,9.990E-03
5.8320E-07,-2.518E-01,2.746E-01,9.990E-03
5.8400E-07,-2.518E-01,2.942E-01,9.990E-03
5.8480E-07,-2.518E-01,2.942E-01,9.990E-03
5.8560E-07,-2.322E-01,2.649E-01,9.990E-03
5.8640E-07,-2.811E-01,2.551E-01,9.990E-03
5.8720E-07,-2.420E-01,2.649E-01,9.990E-03
5.8800E-07,-2.322E-01,2.356E-01,9.990E-03
5.8880E-07,-2.322E-01,2.356E-01,9.990E-03
5.8960E-07,-2.615E-01,2.649E-01,9.990E-03
5.9040E-07,-2.615E-01,2.551E-01,9.990E-03
5.9120E-07,-2.615E-01,2.551E-01,9.990E-03
5.9200E-07,-2.615E-01,2.649E-01,9.990E-03
5.9280E-07,-2.420E-01,2.454E-01,9.990E-03
5.9360E-07,-2.713E-01,2.454E-01,9.990E-03
5.9440E-07,-2.322E-01,2.454E-01,9.990E-03
5.9520E-07,-2.518E-01,2.551E-01,9.990E-03
5.9600E-07,-2.322E-01,2.356E-01,9.990E-03
5.9680E-07,-2.322E-01,2.356E-01,9.990E-03
5.9760E-07,-2.322E-01,2.356E-01,9.990E-03
5.9840E-07,-2.420E-01,2.454E-01,9.990E-03
5.9920E-07,-2.127E-01,2.356E-01,9.990E-03
6.0000E-07,-2.322E-01,2.454E-01,9.990E-03
6.0080E-07,-2.615E-01,2.551E-01,9.990E-03
6.0160E-07,-2.420E-01,2.551E-01,9.990E-03
6.0240E-07,-2.322E-01,2.454E-01,9.990E-03
6.0320E-07,-2.322E-01,2.649E-01,9.990E-03
6.0400E-07,-2.322E-01,2.063E-01,9.990E-03
6.0480E-07,-2.322E-01,2.356E-01,9.990E-03
6.0560E-07,-2.420E-01,2.063E-01,9.990E-03
6.0640E-07,-2.518E-01,2.258E-01,9.990E-03
6.0720E-07,-2.322E-01,2.161E-01,9.990E-03
6.0800E-07,-2.225E-01,2.258E-01,9.990E-03
6.0880E-07,-2.127E-01,1.965E-01,9.990E-03
6.0960E-07,-1.736E-01,1.965E-01,9.990E-03
6.1040E-07,-2.225E-01,1.965E-01,9.990E-03
6.1120E-07,-2.127E-01,2.258E-01,9.990E-03
6.1200E-07,-1.932E-01,2.258E-01,9.990E-03
6.1280E-07,-2.225E-01,2.161E-01,9.990E-03
6.1360E-07,-1.932E-01,2.161E-01,9.990E-03
6.1440E-07,-1.736E-01,2.356E-01,9.990E-03
6.1520E-07,-2.225E-01,2.258E-01,9.990E-03
6.1600E-07,-2.029E-01,2.356E-01,9.990E-03
6.1680E-07,-1.932E-01,1.965E-01,9.990E-03
6.1760E-07,-2.225E-01,1.965E-01,9.990E-03
6.1840E-07,-2.322E-01,2.161E-01,9.990E-03
6.1920E-07,-2.127E-01,1.965E-01,9.990E-03
