in s,C1 in V,C2 in V,C4 in V
3.3760E-07,1.709E-03,1.197E-03,5.088E+00
3.3840E-07,7.324E-04,7.090E-04,5.029E+00
3.3920E-07,7.324E-04,-2.676E-04,5.029E+00
3.4000E-07,-7.324E-04,2.207E-04,5.088E+00
3.4080E-07,2.441E-04,-2.676E-04,5.010E+00
3.4160E-07,2.441E-04,-2.676E-04,5.088E+00
3.4240E-07,2.441E-04,7.090E-04,5.068E+00
3.4320E-07,-2.441E-04,-7.559E-04,5.029E+00
3.4400E-07,-2.441E-04,1.686E-03,5.068E+00
3.4480E-07,1.221E-03,-2.676E-04,5.029E+00
3.4560E-07,-1.221E-03,-2.676E-04,5.029E+00
3.4640E-07,-7.324E-04,-7.559E-04,5.068E+00
3.4720E-07,-7.324E-04,1.197E-03,5.068E+00
3.4800E-07,2.441E-04,-1.244E-03,5.088E+00
3.4880E-07,-1.709E-03,-2.676E-04,5.049E+00
3.4960E-07,1.221E-03,2.207E-04,5.049E+00
3.5040E-07,-2.441E-04,-2.676E-04,5.029E+00
3.5120E-07,2.441E-04,-7.559E-04,5.049E+00
3.5200E-07,-1.221E-03,-2.676E-04,4.971E+00
3.5280E-07,-2.441E-04,-7.559E-04,5.068E+00
3.5360E-07,-2.441E-04,-2.676E-04,4.971E+00
3.5440E-07,2.197E-03,-2.676E-04,5.049E+00
3.5520E-07,2.441E-04,2.207E-04,5.049E+00
3.5600E-07,2.441E-04,2.207E-04,5.068E+00
3.5680E-07,-7.324E-04,-2.676E-04,5.029E+00
3.5760E-07,7.324E-04,2.207E-04,5.029E+00
3.5840E-07,-3.662E-03,-1.244E-03,5.029E+00
3.5920E-07,-2.441E-04,7.090E-04,5.068E+00
3.6000E-07,-1.221E-03,2.207E-04,5.068E+00
3.6080E-07,1.709E-03,7.090E-04,5.068E+00
3.6160E-07,-7.324E-04,-7.559E-04,5.049E+00
3.6240E-07,7.324E-04,-2.676E-04,5.049E+00
3.6320E-07,-2.197E-03,7.090E-04,5.088E+00
3.6400E-07,-2.441E-04,7.090E-04,5.068E+00
3.6480E-07,-1.221E-03,-7.559E-04,4.951E+00
3.6560E-07,-2.441E-04,-2.676E-04,5.068E+00
3.6640E-07,-2.441E-04,-2.676E-04,5.088E+00
3.6720E-07,2.441E-04,-1.244E-03,5.049E+00
3.6800E-07,-7.324E-04,1.686E-03,5.049E+00
3.6880E-07,-2.441E-04,-7.559E-04,5.068E+00
3.6960E-07,-2.441E-04,2.207E-04,5.029E+00
3.7040E-07,2.441E-04,2.207E-04,5.068E+00
3.7120E-07,-2.197E-03,2.207E-04,5.010E+00
3.7200E-07,-7.324E-04,2.207E-04,5.088E+00
3.7280E-07,2.441E-04,7.090E-04,5.010E+00
3.7360E-07,2.197E-03,-1.732E-03,5.088E+00
3.7440E-07,-1.221E-03,2.207E-04,5.029E+00
3.7520E-07,2.441E-04,7.090E-04,5.088E+00
3.7600E-07,-2.441E-04,1.686E-03,5.029E+00
3.7680E-07,2.441E-04,2.207E-04,5.029E+00
3.7760E-07,-2.686E-03,7.090E-04,5.010E+00
3.7840E-07,7.324E-04,-2.676E-04,5.068E+00
3.7920E-07,-1.221E-03,1.686E-03,5.010E+00
3.8000E-07,2.686E-03,1.686E-03,5.029E+00
3.8080E-07,2.441E-04,1.197E-03,5.010E+00
3.8160E-07,-7.324E-04,-2.676E-04,5.068E+00
3.8240E-07,-2.441E-04,1.686E-03,4.971E+00
3.8320E-07,7.324E-04,1.197E-03,5.088E+00
3.8400E-07,-2.441E-04,7.090E-04,5.029E+00
3.8480E-07,2.441E-04,1.686E-03,5.088E+00
3.8560E-07,-2.441E-04,7.090E-04,5.049E+00
3.8640E-07,3.662E-03,-2.676E-04,5.029E+00
3.8720E-07,-1.221E-03,-2.676E-04,5.029E+00
3.8800E-07,-7.324E-04,2.207E-04,5.068E+00
3.8880E-07,-2.441E-04,2.207E-04,5.049E+00
3.8960E-07,2.441E-04,2.207E-04,5.068E+00
3.9040E-07,-2.197E-03,-2.676E-04,4.951E+00
3.9120E-07,7.324E-04,-7.559E-04,5.088E+00
3.9200E-07,-7.324E-04,7.090E-04,4.990E+00
3.9280E-07,2.686E-03,-2.676E-04,5.029E+00
3.9360E-07,-2.441E-04,7.090E-04,5.029E+00
3.9440E-07,-7.324E-04,-2.676E-04,5.029E+00
3.9520E-07,-7.324E-04,7.090E-04,5.010E+00
3.9600E-07,2.441E-04,1.197E-03,5.010E+00
3.9680E-07,-1.709E-03,2.207E-04,5.049E+00
3.9760E-07,-7.324E-04,2.207E-04,5.088E+00
3.9840E-07,-3.174E-03,1.197E-03,5.010E+00
3.9920E-07,1.221E-03,2.207E-04,5.049E+00
4.0000E-07,7.324E-04,2.207E-04,5.029E+00
4.0080E-07,1.709E-03,2.174E-03,5.068E+00
4.0160E-07,-2.441E-04,2.207E-04,5.049E+00
4.0240E-07,7.324E-04,-2.676E-04,5.068E+00
4.0320E-07,-2.197E-03,-7.559E-04,5.029E+00
4.0400E-07,-7.324E-04,2.207E-04,5.088E+00
4.0480E-07,-1.709E-03,-7.559E-04,5.010E+00
4.0560E-07,7.324E-04,-1.732E-03,5.010E+00
4.0640E-07,-1.709E-03,-2.676E-04,5.029E+00
4.0720E-07,2.441E-04,-1.732E-03,5.107E+00
4.0800E-07,2.441E-04,2.207E-04,5.029E+00
4.0880E-07,1.221E-03,2.174E-03,5.088E+00
4.0960E-07,-2.197E-03,-1.732E-03,5.010E+00
4.1040E-07,-1.221E-03,7.090E-04,5.107E+00
4.1120E-07,-2.441E-04,2.207E-04,5.029E+00
4.1200E-07,1.221E-03,-7.559E-04,5.049E+00
4.1280E-07,-1.709E-03,2.207E-04,5.010E+00
4.1360E-07,2.441E-04,-7.559E-04,5.088E+00
4.1440E-07,-2.441E-04,7.090E-04,5.029E+00
4.1520E-07,-1.709E-03,-7.559E-04,5.010E+00
4.1600E-07,-2.441E-04,-2.676E-04,4.990E+00
4.1680E-07,-1.709E-03,7.090E-04,5.068E+00
4.1760E-07,-2.441E-04,2.174E-03,4.971E+00
4.1840E-07,-1.221E-03,-2.676E-04,4.990E+00
4.1920E-07,-1.221E-03,1.197E-03,4.990E+00
4.2000E-07,7.324E-04,1.686E-03,5.010E+00
4.2080E-07,-2.441E-04,7.090E-04,5.029E+00
4.2160E-07,7.324E-04,-2.676E-04,5.068E+00
4.2240E-07,-2.197E-03,7.090E-04,5.029E+00
4.2320E-07,-2.197E-03,-2.676E-04,5.049E+00
4.2400E-07,-1.709E-03,7.090E-04,5.010E+00
4.2480E-07,2.441E-04,7.090E-04,5.029E+00
4.2560E-07,-1.221E-03,1.197E-03,5.010E+00
4.2640E-07,2.441E-04,-2.676E-04,5.088E+00
4.2720E-07,-2.197E-03,1.197E-03,5.029E+00
4.2800E-07,-1.709E-03,1.197E-03,5.049E+00
4.2880E-07,-2.197E-03,2.207E-04,5.029E+00
4.2960E-07,-1.709E-03,7.090E-04,5.068E+00
4.3040E-07,-7.324E-04,1.197E-03,5.029E+00
4.3120E-07,2.441E-04,1.197E-03,5.029E+00
4.3200E-07,2.441E-04,2.174E-03,5.029E+00
4.3280E-07,-2.441E-04,7.090E-04,5.029E+00
4.3360E-07,-1.709E-03,7.090E-04,5.029E+00
4.3440E-07,2.441E-04,2.207E-04,5.029E+00
4.3520E-07,-2.686E-03,2.207E-04,5.029E+00
4.3600E-07,-1.221E-03,7.090E-04,5.068E+00
4.3680E-07,-1.221E-03,2.207E-04,5.010E+00
4.3760E-07,2.441E-04,1.686E-03,5.049E+00
4.3840E-07,-1.221E-03,2.662E-03,5.010E+00
4.3920E-07,7.324E-04,7.090E-04,5.068E+00
4.4000E-07,-1.709E-03,1.686E-03,5.049E+00
4.4080E-07,-6.592E-03,6.080E-03,5.068E+00
4.4160E-07,-2.563E-02,2.268E-02,4.971E+00
4.4240E-07,-5.005E-02,4.905E-02,5.029E+00
4.4320E-07,-7.593E-02,7.786E-02,5.010E+00
4.4400E-07,-9.497E-02,1.003E-01,5.068E+00
4.4480E-07,-1.121E-01,1.169E-01,5.010E+00
4.4560E-07,-1.228E-01,1.267E-01,5.068E+00
4.4640E-07,-1.340E-01,1.365E-01,5.049E+00
4.4720E-07,-1.375E-01,1.418E-01,5.088E+00
4.4800E-07,-1.438E-01,1.472E-01,4.971E+00
4.4880E-07,-1.458E-01,1.496E-01,5.068E+00
4.4960E-07,-1.511E-01,1.555E-01,5.029E+00
4.5040E-07,-1.541E-01,1.579E-01,5.049E+00
4.5120E-07,-1.536E-01,1.579E-01,4.971E+00
4.5200E-07,-1.462E-01,1.526E-01,5.029E+00
4.5280E-07,-1.409E-01,1.457E-01,5.029E+00
4.5360E-07,-1.360E-01,1.374E-01,5.068E+00
4.5440E-07,-1.326E-01,1.316E-01,4.990E+00
4.5520E-07,-1.287E-01,1.272E-01,5.088E+00
4.5600E-07,-1.316E-01,1.272E-01,5.010E+00
4.5680E-07,-1.287E-01,1.282E-01,5.068E+00
4.5760E-07,-1.331E-01,1.316E-01,5.029E+00
4.5840E-07,-1.365E-01,1.360E-01,5.068E+00
4.5920E-07,-1.448E-01,1.423E-01,5.049E+00
4.6000E-07,-1.467E-01,1.457E-01,5.068E+00
4.6080E-07,-1.497E-01,1.472E-01,5.049E+00
4.6160E-07,-1.458E-01,1.457E-01,5.049E+00
4.6240E-07,-1.428E-01,1.418E-01,5.029E+00
4.6320E-07,-1.365E-01,1.389E-01,5.068E+00
4.6400E-07,-1.345E-01,1.350E-01,5.049E+00
4.6480E-07,-1.311E-01,1.316E-01,5.068E+00
4.6560E-07,-1.316E-01,1.311E-01,5.049E+00
4.6640E-07,-1.301E-01,1.282E-01,5.068E+00
4.6720E-07,-1.311E-01,1.306E-01,5.049E+00
4.6800E-07,-1.321E-01,1.325E-01,5.088E+00
4.6880E-07,-1.335E-01,1.325E-01,5.010E+00
4.6960E-07,-1.326E-01,1.335E-01,5.049E+00
4.7040E-07,-1.326E-01,1.330E-01,4.990E+00
4.7120E-07,-1.292E-01,1.296E-01,5.029E+00
4.7200E-07,-1.306E-01,1.291E-01,4.990E+00
4.7280E-07,-1.257E-01,1.257E-01,5.088E+00
4.7360E-07,-1.252E-01,1.247E-01,4.971E+00
4.7440E-07,-1.218E-01,1.233E-01,5.088E+00
4.7520E-07,-1.228E-01,1.208E-01,5.010E+00
4.7600E-07,-1.189E-01,1.203E-01,5.049E+00
4.7680E-07,-1.208E-01,1.198E-01,5.049E+00
4.7760E-07,-1.199E-01,1.179E-01,5.049E+00
4.7840E-07,-1.204E-01,1.189E-01,5.029E+00
4.7920E-07,-1.169E-01,1.174E-01,5.049E+00
4.8000E-07,-1.189E-01,1.164E-01,5.068E+00
4.8080E-07,-1.140E-01,1.159E-01,5.068E+00
4.8160E-07,-1.150E-01,1.150E-01,5.049E+00
4.8240E-07,-1.116E-01,1.135E-01,5.010E+00
4.8320E-07,-1.140E-01,1.135E-01,5.010E+00
4.8400E-07,-1.096E-01,1.130E-01,5.068E+00
4.8480E-07,-1.111E-01,1.130E-01,5.029E+00
4.8560E-07,-1.091E-01,1.086E-01,5.029E+00
4.8640E-07,-1.091E-01,1.076E-01,5.029E+00
4.8720E-07,-1.077E-01,1.076E-01,5.068E+00
4.8800E-07,-1.067E-01,1.067E-01,5.068E+00
4.8880E-07,-1.042E-01,1.062E-01,5.088E+00
4.8960E-07,-1.038E-01,1.028E-01,5.029E+00
4.9040E-07,-1.028E-01,1.028E-01,5.088E+00
4.9120E-07,-1.038E-01,1.028E-01,5.029E+00
4.9200E-07,-1.003E-01,1.013E-01,5.049E+00
4.9280E-07,-1.013E-01,1.008E-01,5.010E+00
4.9360E-07,-9.839E-02,9.983E-02,5.068E+00
4.9440E-07,-9.937E-02,9.885E-02,5.068E+00
4.9520E-07,-9.692E-02,9.641E-02,5.029E+00
4.9600E-07,-9.741E-02,9.788E-02,5.029E+00
4.9680E-07,-9.497E-02,9.544E-02,5.068E+00
4.9760E-07,-9.595E-02,9.690E-02,5.068E+00
4.9840E-07,-9.497E-02,9.397E-02,5.088E+00
4.9920E-07,-9.448E-02,9.397E-02,4.990E+00
5.0000E-07,-9.253E-02,9.202E-02,5.088E+00
5.0080E-07,-9.253E-02,9.006E-02,5.049E+00
5.0160E-07,-9.155E-02,8.860E-02,5.029E+00
5.0240E-07,-8.960E-02,8.909E-02,5.010E+00
5.0320E-07,-8.716E-02,8.811E-02,5.068E+00
5.0400E-07,-8.716E-02,8.713E-02,4.990E+00
5.0480E-07,-8.813E-02,8.713E-02,5.088E+00
5.0560E-07,-8.862E-02,8.616E-02,5.029E+00
5.0640E-07,-8.472E-02,8.665E-02,5.029E+00
5.0720E-07,-8.667E-02,8.421E-02,5.049E+00
5.0800E-07,-8.374E-02,8.176E-02,5.068E+00
5.0880E-07,-8.423E-02,8.274E-02,5.010E+00
5.0960E-07,-8.325E-02,8.128E-02,5.029E+00
5.1040E-07,-8.228E-02,8.128E-02,5.068E+00
5.1120E-07,-8.081E-02,7.932E-02,5.088E+00
5.1200E-07,-7.983E-02,7.932E-02,4.990E+00
5.1280E-07,-7.788E-02,7.883E-02,5.049E+00
5.1360E-07,-7.886E-02,7.835E-02,5.010E+00
5.1440E-07,-7.690E-02,7.786E-02,5.029E+00
5.1520E-07,-7.886E-02,7.737E-02,5.029E+00
5.1600E-07,-7.495E-02,7.493E-02,5.029E+00
5.1680E-07,-7.593E-02,7.590E-02,5.029E+00
5.1760E-07,-7.397E-02,7.493E-02,5.049E+00
5.1840E-07,-7.495E-02,7.346E-02,5.010E+00
5.1920E-07,-7.300E-02,7.249E-02,5.049E+00
5.2000E-07,-7.251E-02,7.151E-02,5.029E+00
5.2080E-07,-6.909E-02,7.249E-02,5.107E+00
5.2160E-07,-7.153E-02,7.053E-02,4.990E+00
5.2240E-07,-7.007E-02,6.956E-02,5.088E+00
5.2320E-07,-6.958E-02,7.053E-02,5.029E+00
5.2400E-07,-6.812E-02,6.809E-02,5.049E+00
5.2480E-07,-6.860E-02,6.663E-02,5.029E+00
5.2560E-07,-6.665E-02,6.712E-02,5.088E+00
5.2640E-07,-6.714E-02,6.516E-02,4.990E+00
5.2720E-07,-6.567E-02,6.516E-02,5.088E+00
5.2800E-07,-6.665E-02,6.614E-02,5.029E+00
5.2880E-07,-6.470E-02,6.370E-02,5.127E+00
5.2960E-07,-6.470E-02,6.321E-02,4.971E+00
5.3040E-07,-6.177E-02,6.321E-02,5.068E+00
5.3120E-07,-6.470E-02,6.174E-02,5.068E+00
5.3200E-07,-6.128E-02,6.126E-02,5.068E+00
5.3280E-07,-6.079E-02,6.126E-02,5.010E+00
5.3360E-07,-5.933E-02,6.028E-02,5.029E+00
5.3440E-07,-5.933E-02,6.028E-02,5.049E+00
5.3520E-07,-5.835E-02,5.833E-02,5.029E+00
5.3600E-07,-5.933E-02,5.833E-02,5.068E+00
5.3680E-07,-5.884E-02,5.735E-02,5.029E+00
5.3760E-07,-5.835E-02,5.686E-02,5.010E+00
5.3840E-07,-5.640E-02,5.637E-02,5.049E+00
5.3920E-07,-5.737E-02,5.588E-02,5.029E+00
5.4000E-07,-5.591E-02,5.491E-02,5.049E+00
5.4080E-07,-5.640E-02,5.442E-02,4.971E+00
5.4160E-07,-5.444E-02,5.296E-02,5.049E+00
5.4240E-07,-5.396E-02,5.344E-02,5.049E+00
5.4320E-07,-5.493E-02,5.198E-02,5.088E+00
5.4400E-07,-5.396E-02,5.100E-02,5.049E+00
5.4480E-07,-5.151E-02,5.198E-02,5.107E+00
5.4560E-07,-5.200E-02,5.198E-02,5.049E+00
5.4640E-07,-5.054E-02,5.003E-02,5.068E+00
5.4720E-07,-5.347E-02,4.905E-02,4.990E+00
5.4800E-07,-5.103E-02,4.954E-02,5.068E+00
5.4880E-07,-5.151E-02,4.807E-02,5.029E+00
5.4960E-07,-4.810E-02,4.758E-02,5.068E+00
5.5040E-07,-5.005E-02,4.905E-02,4.990E+00
5.5120E-07,-4.810E-02,4.710E-02,5.049E+00
5.5200E-07,-4.712E-02,5.003E-02,5.029E+00
5.5280E-07,-4.761E-02,4.612E-02,5.088E+00
5.5360E-07,-4.712E-02,4.514E-02,5.049E+00
5.5440E-07,-4.321E-02,4.514E-02,5.107E+00
5.5520E-07,-4.614E-02,4.563E-02,5.049E+00
5.5600E-07,-4.468E-02,4.368E-02,5.029E+00
5.5680E-07,-4.565E-02,4.465E-02,5.010E+00
5.5760E-07,-4.321E-02,4.368E-02,5.088E+00
5.5840E-07,-4.468E-02,4.221E-02,5.029E+00
5.5920E-07,-4.175E-02,4.172E-02,5.029E+00
5.6000E-07,-4.370E-02,4.368E-02,4.990E+00
5.6080E-07,-4.272E-02,4.075E-02,5.029E+00
5.6160E-07,-4.126E-02,4.026E-02,5.049E+00
